title,logo,urlField,dbtaCertified,dbtAdherentTeam,specialties,credentials,locations,locationCount
DBT Associates,,https://www.dbtassociates.com/,true,false,"[""Borderline Personality Disorder"", ""Emotion Dysregulation Related Disorders"", ""Obsessive Compulsive Personality Disorder"", ""Anorexia"", ""Chronic Unremitting Depression"", ""Anxiety Disorders"", ""Autism Spectrum Disorders"", ""Chemical Dependency"", ""Trauma""]","[""MSW"", ""LICSW"", ""LMFT"", ""BS"", ""LADC"", ""LGSW"", ""MA"", ""LPCC""]","[{""address"": ""7362 University Avenue Northeast, Suite 101"", ""fullAddress"": ""7362 University Avenue Northeast, Suite 101, Fridley, MN, 55432"", ""city"": ""Fridley"", ""state"": ""MN"", ""zip"": ""55432"", ""website"": ""https://www.dbtassociates.com/"", ""email"": """", ""phone"": ""763-503-3981"", ""availability"": """"}]",1
Elevacare dba Southwest Mental Health Clinic,,,false,false,[],[],"[{""address"": ""1210 5th Avenue"", ""fullAddress"": ""1210 5th Avenue, Worthington, MN, 56187"", ""city"": ""Worthington"", ""state"": ""MN"", ""zip"": ""56187"", ""website"": """", ""email"": """", ""phone"": ""507-376-4141"", ""availability"": """"}]",1
Evident Social Services,evident_social_services.png,https://www.evidentmn.com/,false,false,"[""Mental health challenges"", ""emotional regulation"", ""mindfulness"", ""coping with distress""]",[],"[{""address"": ""7300 Hudson Blvd N, Suite 185"", ""fullAddress"": ""7300 Hudson Blvd N, Suite 185, Oakdale, MN, 55128"", ""city"": ""Oakdale"", ""state"": ""MN"", ""zip"": ""55128"", ""website"": ""https://www.evidentmn.com/"", ""email"": ""info@evidentmn.com"", ""phone"": ""651-300-0140"", ""availability"": """"}]",1
Family Services of Rochester,family_services_of_rochester.png,http://familyservicerochester.org/,true,false,"[""Borderline Personality Disorder"", ""Intense emotions"", ""Self-harm"", ""Substance abuse"", ""Emotion regulation"", ""Stress management"", ""Relationship challenges"", ""Communication challenges""]","[""MS"", ""LPCC"", ""MPS"", ""LADC"", ""MSW"", ""LICSW"", ""MA"", ""LGSW""]","[{""address"": ""4600 18th Avenue Northwest"", ""fullAddress"": ""4600 18th Avenue Northwest, Rochester, MN, 55901"", ""city"": ""Rochester"", ""state"": ""MN"", ""zip"": ""55901"", ""website"": ""http://familyservicerochester.org/"", ""email"": ""office@familyservicerochester.org"", ""phone"": ""507-287-2010"", ""availability"": ""true""}]",1
Fernbrook Family Center,,https://fernbrook.org/,false,false,[],[],"[{""address"": ""150 10 St NW, Ste 2"", ""fullAddress"": ""150 10 St NW, Ste 2, Milaca, MN, 56353"", ""city"": ""Milaca"", ""state"": ""MN"", ""zip"": ""56353"", ""website"": ""https://fernbrook.org/"", ""email"": ""info@fernbrook.org"", ""phone"": ""(507) 446-0431"", ""availability"": """"}]",1
Healing Connections Therapy Center,healing_connections_therapy_center.png,http://www.healingconnectionsonline.com/,false,false,"[""Trauma"", ""Anxiety"", ""BPD"", ""Eating Disorders""]","[""MSEd"", ""LP"", ""RN"", ""CNP"", ""PhD"", ""LICSW"", ""MA"", ""LPCC"", ""CBIS""]","[{""address"": ""1751 Southcross Drive West"", ""fullAddress"": ""1751 Southcross Drive West, Burnsville, MN, 55306"", ""city"": ""Burnsville"", ""state"": ""MN"", ""zip"": ""55306"", ""website"": ""http://www.healingconnectionsonline.com/"", ""email"": ""info@healingconnectionsonline.com"", ""phone"": ""952-892-7690"", ""availability"": """"}]",1
Healthy Minds,healthy_minds.png,https://www.healthyminds.io/,false,false,"[""BIPOC"", ""LGBTQ+"", ""Trauma"", ""Anxiety"", ""BPD"", ""Emotion dysregulation and reactivity"", ""anxiety and chronic stress"", ""relationship and interpersonal challenges"", ""shame and self-criticism"", ""life transitions and identity development"", ""emotional intensity"", ""identity exploration""]","[""LGSW"", ""Psychotherapist"", ""DBT Specialist"", ""MSW"", ""LICSW"", ""MS"", ""LPCC"", ""Founder of HM""]","[{""address"": ""400 Selby Ave, Ste Q"", ""fullAddress"": ""400 Selby Ave, Ste Q, St. Paul, MN, 55102"", ""city"": ""St. Paul"", ""state"": ""MN"", ""zip"": ""55102"", ""website"": ""https://www.healthyminds.io/"", ""email"": """", ""phone"": ""651-571-2865"", ""availability"": """"}]",1
HP Psychological Associates PC,,http://www.hppsychological.com/,false,false,"[""neuropsychology"", ""trauma"", ""personality disorders"", ""developmental/relational trauma"", ""relationship issues"", ""life transitions"", ""personal guilt and shame"", ""stress"", ""codependency"", ""avoidance behaviors"", ""self-esteem"", ""anxiety"", ""depression"", ""grief and loss"", ""Borderline Personality Disorders"", ""communication improvement"", ""substance use issues"", ""emotional dysregulation"", ""PTSD"", ""behavioral issues"", ""family"", ""career and relationship stressors"", ""conflict management"", ""anger management"", ""body image"", ""self-concept"", ""adjustment""]","[""PhD"", ""LP"", ""NPT-C"", ""MA"", ""LMFT"", ""SEP"", ""MSE"", ""MS"", ""LPCC"", ""PsyD""]","[{""address"": ""4815 Burning Tree Road, Ste 200"", ""fullAddress"": ""4815 Burning Tree Road, Ste 200, Duluth, MN, 55811"", ""city"": ""Duluth"", ""state"": ""MN"", ""zip"": ""55811"", ""website"": ""http://www.hppsychological.com/"", ""email"": ""officesupport@hppsychological.com"", ""phone"": ""(218) 464-0908"", ""availability"": """"}]",1
Integrity Counseling,integrity_counseling.png,https://intcounseling.com/,false,false,"[""ADHD"", ""Adjustment"", ""Anger"", ""Attachment"", ""Anxiety"", ""Career Issues"", ""Depression"", ""Fear"", ""Forgiveness"", ""Grief"", ""Guilt/Shame"", ""Loss"", ""Mental Illness"", ""Panic Attacks"", ""PTSD"", ""Postpartum Depression"", ""Stress"", ""Trauma"", ""Self Harm"", ""Suicidal Thoughts/Gestures""]","[""LPCC""]","[{""address"": ""155 2nd St SW"", ""fullAddress"": ""155 2nd St SW, Perham, MN, 56573"", ""city"": ""Perham"", ""state"": ""MN"", ""zip"": ""56573"", ""website"": ""https://intcounseling.com/"", ""email"": ""kellie@intcounseling.com"", ""phone"": ""218-422-6131"", ""availability"": """"}]",1
Independent Management Services,independent_management_services.png,https://www.imsofmn.com/,true,false,[],"[""PhD"", ""LP"", ""MSW"", ""LICSW"", ""MBA"", ""CFE"", ""MA"", ""LPCC""]","[{""address"": ""101 21st Street, Suite 1"", ""fullAddress"": ""101 21st Street, Suite 1, Austin, MN, 55912"", ""city"": ""Austin"", ""state"": ""MN"", ""zip"": ""55912"", ""website"": ""https://www.imsofmn.com/"", ""email"": ""info@imsofmn.com"", ""phone"": ""507-437-6389"", ""availability"": """"}, {""address"": ""226 W Clark Street"", ""fullAddress"": ""226 W Clark Street, Albert Lea, MN, 56007"", ""city"": ""Albert Lea"", ""state"": ""MN"", ""zip"": ""56007"", ""website"": ""https://www.imsofmn.com/"", ""email"": ""info@imsofmn.com"", ""phone"": ""507-437-6389"", ""availability"": """"}]",2
Lakeland Mental Health Center,lakeland_mental_health_center.png,http://www.lmhc.org/,false,false,"[""Brainspotting"", ""EMDR"", ""ART Therapy""]","[""Psychiatrists"", ""Nurse Practitioners"", ""Psychologists"", ""Clinical Social Workers"", ""Licensed Marriage and Family Counselors"", ""Licensed Professional Clinical Counselors"", ""Registered Nurses"", ""Licensed Nurses"", ""Mental Health Practitioners""]","[{""address"": ""702 34th Avenue East"", ""fullAddress"": ""702 34th Avenue East, Alexandria, MN, 56308"", ""city"": ""Alexandria"", ""state"": ""MN"", ""zip"": ""56308"", ""website"": ""http://www.lmhc.org/"", ""email"": """", ""phone"": ""(800) 223-4512"", ""availability"": """"}]",1
Life Development Resources PA,life_development_resources_pa.png,http://lifedrs.com/,true,false,"[""Trauma"", ""Anxiety"", ""Depression"", ""Grief"", ""Anger"", ""Addiction"", ""Relationship struggles"", ""BPD"", ""ADHD"", ""Family issues"", ""DBT"", ""EMDR""]","[""BA"", ""Clinical Trainee"", ""MA"", ""LMFT"", ""MS"", ""MSW"", ""LICSW""]","[{""address"": ""7580 160th Street West"", ""fullAddress"": ""7580 160th Street West, Lakeville, MN, 55044"", ""city"": ""Lakeville"", ""state"": ""MN"", ""zip"": ""55044"", ""website"": ""http://lifedrs.com/"", ""email"": """", ""phone"": ""(952) 898-1133"", ""availability"": """"}, {""address"": ""1619 Dayton Avenue"", ""fullAddress"": ""1619 Dayton Avenue, St. Paul, MN, 55104"", ""city"": ""St. Paul"", ""state"": ""MN"", ""zip"": ""55104"", ""website"": ""http://lifedrs.com/"", ""email"": """", ""phone"": ""(952) 898-1133"", ""availability"": """"}]",2
MAP Behavioral Health Center,map_behavioral_health_center.png,https://www.mapbhc.com/,false,false,"[""Trauma"", ""Anxiety"", ""PTSD"", ""Depression"", ""Panic Disorders"", ""Substance Use"", ""Grief"", ""Phobias"", ""Addiction"", ""Executive Function Dysregulation"", ""ADHD""]","[""MSED"", ""LPCC"", ""CRC"", ""Psy.D"", ""LP"", ""APRN"", ""PMHNP-BC"", ""MA"", ""LADC""]","[{""address"": ""324 West Superior St, Suite 260"", ""fullAddress"": ""324 West Superior St, Suite 260, Duluth, MN, 55802"", ""city"": ""Duluth"", ""state"": ""MN"", ""zip"": ""55802"", ""website"": ""https://www.mapbhc.com/"", ""email"": """", ""phone"": ""218-606-1797"", ""availability"": """"}]",1
The Meadows Counseling Center,the_meadows_counseling_center.png,http://www.highlandmeadowscc.com/,true,false,[],[],"[{""address"": ""3737 40th Avenue Northwest"", ""fullAddress"": ""3737 40th Avenue Northwest, Rochester, MN, 55901"", ""city"": ""Rochester"", ""state"": ""MN"", ""zip"": ""55901"", ""website"": ""http://www.highlandmeadowscc.com/"", ""email"": """", ""phone"": ""507-288-6978"", ""availability"": """"}]",1
Mental Health Systems,mental_health_systems.png,https://www.mhs-dbt.com/,false,true,"[""Chronic Pain"", ""LGBTQIA+"", ""College Students"", ""Addiction"", ""Developmental Disorders"", ""Trauma"", ""Perinatal Health"", ""Psychotic Disorders""]",[],"[{""address"": ""6600 France Avenue, Suite 230"", ""fullAddress"": ""6600 France Avenue, Suite 230, Edina, MN, 55435"", ""city"": ""Edina"", ""state"": ""MN"", ""zip"": ""55435"", ""website"": ""https://www.mhs-dbt.com/"", ""email"": """", ""phone"": ""952-835-2002"", ""availability"": """"}, {""address"": ""6063 Hudson Road, Suite 200"", ""fullAddress"": ""6063 Hudson Road, Suite 200, Woodbury, MN, 55125"", ""city"": ""Woodbury"", ""state"": ""MN"", ""zip"": ""55125"", ""website"": ""https://www.mhs-dbt.com/"", ""email"": """", ""phone"": ""952-835-2002"", ""availability"": """"}]",2
Minnesota Center for Psychology LLC,minnesota_center_for_psychology_llc.png,https://www.minnesotacenterforpsychology.com/dialectical-behavior-therapy,true,false,"[""Borderline Personality Disorder"", ""Substance Use Disorder"", ""Depression"", ""Bipolar Disorder"", ""Cluster B Personality Disorders"", ""Post-Traumatic Stress Disorder (PTSD)"", ""Eating Disorders"", ""Transdiagnostic Emotion Dysregulation"", ""Attention-Deficit/Hyperactivity Disorder (ADHD)""]","[""M.S.W."", ""L.I.C.S.W."", ""M.A."", ""Psy.D."", ""L.P."", ""B.A.""]","[{""address"": ""2324 University Avenue West, Suite 120"", ""fullAddress"": ""2324 University Avenue West, Suite 120, St Paul, MN, 55114"", ""city"": ""St Paul"", ""state"": ""MN"", ""zip"": ""55114"", ""website"": ""https://www.minnesotacenterforpsychology.com/dialectical-behavior-therapy"", ""email"": ""info@minncp.com"", ""phone"": ""651-644-4100"", ""availability"": ""true""}]",1
Natalis Counseling and Psychology Solutions,,https://www.natalispsychology.com/,false,false,"[""Trauma-focused therapy"", ""Anxiety"", ""BPD"", ""Eating Disorders""]","[""Billing Specialist"", ""Billing Manager"", ""SBMH Coordinator"", ""Assistant Clinic Manager"", ""Clinic Manager"", ""PMHNP-BC"", ""MSN"", ""DNP"", ""CPNP-AC"", ""MA"", ""MS"", ""Psy.D"", ""LP"", ""LPCC"", ""MSW"", ""LICSW"", ""LGSW"", ""PhD"", ""LAMFT"", ""MPS"", ""LADC"", ""LMFT""]","[{""address"": ""1600 University Avenue West"", ""fullAddress"": ""1600 University Avenue West, St Paul, MN, 55104"", ""city"": ""St Paul"", ""state"": ""MN"", ""zip"": ""55104"", ""website"": ""https://www.natalispsychology.com/"", ""email"": ""info@natalispsychology.com"", ""phone"": ""651-379-5157"", ""availability"": """"}]",1
Northern Pines Mental Health Center Inc,northern_pines_mental_health_center_inc.webp,http://www.npmh.org/,true,false,"[""Substance Use Recovery""]","[""Clinical Trainee"", ""Intern I"", ""Practitioner"", ""APRN/RN"", ""LADC"", ""Therapist"", ""Psychologist"", ""Practitioner/Certified Peer Specialist""]","[{""address"": ""520 5th Street Northwest"", ""fullAddress"": ""520 5th Street Northwest, Brainerd, MN, 56401"", ""city"": ""Brainerd"", ""state"": ""MN"", ""zip"": ""56401"", ""website"": ""http://www.npmh.org/"", ""email"": """", ""phone"": ""320-639-2025"", ""availability"": """"}, {""address"": ""1906 5th Avenue SE, Little Falls MN, 56345"", ""fullAddress"": ""1906 5th Avenue SE, Little Falls MN, 56345"", ""city"": ""Little Falls"", ""state"": ""MN"", ""zip"": ""56345"", ""website"": ""http://www.npmh.org/"", ""email"": """", ""phone"": ""320-639-2025"", ""availability"": """"}, {""address"": ""16 9th Ave SE"", ""fullAddress"": ""16 9th Ave SE, Long Prairie, MN, 56347"", ""city"": ""Long Prairie"", ""state"": ""MN"", ""zip"": ""56347"", ""website"": ""http://www.npmh.org/"", ""email"": """", ""phone"": ""320-639-2025"", ""availability"": """"}, {""address"": ""11 2nd St W"", ""fullAddress"": ""11 2nd St W, Wadena, MN, 56452"", ""city"": ""Wadena"", ""state"": ""MN"", ""zip"": ""56452"", ""website"": ""http://www.npmh.org/"", ""email"": """", ""phone"": ""320-639-2025"", ""availability"": """"}]",4
Northland Counseling Center - Grand Rapids,northland_counseling_center_-_grand_rapids.png,https://northlandcounseling.org/mental-health/dialectical-behavior-therapy/,false,false,[],"[""MS"", ""Ed."", ""LMFT"", ""MSW"", ""LICSW"", ""MA"", ""LPCC""]","[{""address"": ""215 SE 2nd Avenue"", ""fullAddress"": ""215 SE 2nd Avenue, Grand Rapids, MN, 55744"", ""city"": ""Grand Rapids"", ""state"": ""MN"", ""zip"": ""55744"", ""website"": ""https://northlandcounseling.org/mental-health/dialectical-behavior-therapy/"", ""email"": ""jalstad@northlandcounseling.org"", ""phone"": ""218-326-1274"", ""availability"": """"}]",1
Northland Counseling Center - International Falls,,http://northlandcounselingifalls.org/,false,false,[],[],"[{""address"": ""900 5th Street, Suite 305"", ""fullAddress"": ""900 5th Street, Suite 305, International Falls, MN, 56649"", ""city"": ""International Falls"", ""state"": ""MN"", ""zip"": ""56649"", ""website"": ""http://northlandcounselingifalls.org/"", ""email"": """", ""phone"": ""218-283-3406"", ""availability"": """"}]",1
Northland Counseling Center-Grand Rapids,,http://northlandcounselingifalls.org/,false,false,[],[],"[{""address"": ""3130 SE 2nd Ave"", ""fullAddress"": ""3130 SE 2nd Ave, Grand Rapids, MN, 55744"", ""city"": ""Grand Rapids"", ""state"": ""MN"", ""zip"": ""55744"", ""website"": ""http://northlandcounselingifalls.org/"", ""email"": """", ""phone"": ""218-283-3406"", ""availability"": """"}]",1
Northland Counseling Center _International Falls,,http://northlandcounselingifalls.org/,false,false,[],[],"[{""address"": ""1902 Valley Pine Circle"", ""fullAddress"": ""1902 Valley Pine Circle, International Falls, MN, 56649"", ""city"": ""International Falls"", ""state"": ""MN"", ""zip"": ""56649"", ""website"": ""http://northlandcounselingifalls.org/"", ""email"": """", ""phone"": ""218-283-3406"", ""availability"": """"}]",1
